question,contexts,ground_truth,evolution_type,episode_done
"What measures are in place for recording, monitoring, and investigating activities carried out by users in the Amadeus system?","['b) When Amadeus managed workstat ions are shared among several users, the ownership \nof the workstation is assigned to the Amadeus manager responsible for the service or the \ngroup of users. In this case, the Amadeus manager shall request privileged access, review \nand approve this AUP, and provide business justifications. The Amadeus manager \nbecomes fully responsible for the shared workstations and must implement all appropriate \ncontrols to avoid any misuse.  \n \n \n1.12.  Enforcement  of rules  \n1.12.1.  Recording,  Monitoring  and Investigations  \na) By having  a contract  with Amadeus,  every  user shall  acknowledge  that events  are \nrecorded  (‘logged’)  and may be reviewed  and audited.  \n \nThis includes  the following  aspects:  \n \n• Recording : Events  are recorded.  Every  user may be held accountable  for all activities \ncarried out under his or her personal user -ID. \n• Auditing : Records (logs) are regularly analyzed and evaluated. As far as necessary for']","The measures in place for recording, monitoring, and investigating activities carried out by users in the Amadeus system include recording events, holding users accountable for their activities, and regularly analyzing and evaluating records through auditing.",simple,True
What measures does Amadeus have in place for auditing and investigating user information/data?,"['• Auditing : Records (logs) are regularly analyzed and evaluated. As far as necessary for \nproper  evaluation,  information/data  related  to the use of resources  by individuals  may be \ncorrelated.  \n• Investigations : Inve stigation may include an inspection of any equipment and \ninformation/data  under  Amadeus  control.  Amadeus  is authorized  to access  and verify  any \ninformation/data  stored  or processed  by the user on any resource  under  Amadeus  control, \nin accordance with local law and regulations.  \n \nb) User shall be aware that he/she is not permitted to obstruct or undermine \ninvestigations or destroy information/data covering any evidence.  © 2022 Amadeus  IT Group  SA CISO Office  \nPage 16 of 16 \namadeus.com  CONFIDENTIAL  & RESTRICTED  \n \n c) User shall be aware that, when Amadeus provides Internet access, Amadeus reserves \nthe right to implement and operate ‘Web Filter’ Software to prevent, record and/or \nautomatically block Internet sites.']","Amadeus regularly analyzes and evaluates records (logs) for auditing purposes. They may correlate information/data related to the use of resources by individuals. For investigations, Amadeus is authorized to inspect equipment and access and verify any information/data stored or processed by the user. Amadeus also reserves the right to implement and operate 'Web Filter' Software to prevent, record, and/or automatically block Internet sites.",simple,True
What are the privacy expectations and compliance requirements for the use of Amadeus managed mobile devices?,"['media by authorized personnel using validated channels3 . \n \n \n1.9.  Amadeus  managed  mobile  devices  \n1.9.1.  General  \nAmadeus may provide Amadeus managed  mobile devices, which can be accessed only by duly \nauthorized personnel tasked with the administration of such devices, as it is already the case for \nAmadeus managed devices (e.g. workstations, laptop).  \na) By accepting such a device, the users implicitly und erstand and shall comply with the \nfollowing requirements:  \n \n• Amadeus  managed  mobile  devices  and all information  transmitted  by or stored  in them (such \nas emails, voicemail messages, documents  and log files) are Amadeus property.  \n• There are no expectations of privacy with regard to the use of Amadeus managed mobile \ndevices, except in cases where local law sets requirements for privacy of personal data on \ncorporate systems and the user has follow ed appropriate procedures to identify the \ninformation or files as personal.']","There are no expectations of privacy with regard to the use of Amadeus managed mobile devices, except in cases where local law sets requirements for privacy of personal data on corporate systems and the user has followed appropriate procedures to identify the information or files as personal.",simple,True
What measures should be taken to protect sensitive material in an office space?,"['(3) Spatial  configuration  \na) User  shall:  \n \n• Position desks and furniture in such a way that sensitive material is not visible from either \nthe windows or the hallway.  \n• Close  blinds  on windows  if necessary.  \n• Erase  whiteboards  and remove  meeting  charts.  \n \n(4) Beyond  desk \na) User  shall:  \n \n• Avoid  using  bookshelves  to store binders  containing  sensitive  information.  \n• Keep file cabinets,  etc. closed  and locked  and not leave  keys in the locks.  \n• Lock the office  door (if possible)  when  absent  for extended  periods.  © 2022 Amadeus  IT Group  SA CISO Office  \nPage 10 of 16 \namadeus.com  CONFIDENTIAL  & RESTRICTED  \n \n 1.7.2.  Clean  screen  \na) In order  to mitigate  the risk of exposing  sensitive  information  to unauthorized  persons, \nuser shall use a screen filter to minimize the viewing angle on a computer monitor if \nworking in public areas.  \nb) user shall  lock its workstation  when  not present  \n \n1.7.3.  Good Samaritan']","Measures that should be taken to protect sensitive material in an office space include positioning desks and furniture in a way that sensitive material is not visible from windows or the hallway, closing blinds on windows if necessary, erasing whiteboards and removing meeting charts, avoiding using bookshelves to store binders containing sensitive information, keeping file cabinets closed and locked and not leaving keys in the locks, locking the office door when absent for extended periods, using a screen filter to minimize the viewing angle on a computer monitor when working in public areas, and locking the workstation when not present.",simple,True
What are the restrictions on altering the configuration of Amadeus controlled equipment for internet access?,"['a) Users shall only access the Internet via Amadeus managed and/or authorized web \nbrowsers.  \n \nA managed  browser  is a browser  deployed  & supported  by Internal  IT1. The configuration  of such a \nbrowser is strictly controlled by Internal IT to ensure that there  are no issues with corporate web \napplications. A managed browser shall not be altered by the user.  \nAn authorized  web browser  is a browser  that, although  not supported  by Internal  IT (though  causing \nno additional security risks), is therefore not necessarily tested with corporate web applications.  \n \n \n1.5.  Hardware  and Software  \n1.5.1.  General  \nThe use of hardware and/or software under Amadeus control shall only be permitted for business \npurposes except where other usage is allowed.  \n \n \n1.5.2.  Use of Amadeus  equipment  \na) Users shall not change, alter or deactivate the configuration of Amadeus controlled \nequipment.  \n \nThis includes,  but is not limited  to:']","Users shall not change, alter or deactivate the configuration of Amadeus controlled equipment.",simple,True
What measures are in place to ensure accountability and oversight of user activities in the Amadeus system?,"['b) When Amadeus managed workstat ions are shared among several users, the ownership \nof the workstation is assigned to the Amadeus manager responsible for the service or the \ngroup of users. In this case, the Amadeus manager shall request privileged access, review \nand approve this AUP, and provide business justifications. The Amadeus manager \nbecomes fully responsible for the shared workstations and must implement all appropriate \ncontrols to avoid any misuse.  \n \n \n1.12.  Enforcement  of rules  \n1.12.1.  Recording,  Monitoring  and Investigations  \na) By having  a contract  with Amadeus,  every  user shall  acknowledge  that events  are \nrecorded  (‘logged’)  and may be reviewed  and audited.  \n \nThis includes  the following  aspects:  \n \n• Recording : Events  are recorded.  Every  user may be held accountable  for all activities \ncarried out under his or her personal user -ID. \n• Auditing : Records (logs) are regularly analyzed and evaluated. As far as necessary for']","By having a contract with Amadeus, every user acknowledges that events are recorded and may be reviewed and audited. This includes recording events and holding users accountable for their activities under their personal user-ID. Records are regularly analyzed and evaluated through auditing.",reasoning,True
What are the limitations on unauthorized remote access to the Amadeus network?,"['equipment.  \n \nThis includes,  but is not limited  to: \n \n• Changing  the hardware  configuration  (e.g. installation  of WLAN -adapters).  \n• Changing, altering or deactivating the configuration of software, tools or parameters which \nare installed  to protect  Amadeus  IT systems  and limit the risk of attacks  (e.g. antivirus,  patch \nmanagement, auditing, inventory, etc.).  \n \n1.5.3.  Hardware  and software  usage  on Amadeus  LAN \na) Only Amadeus managed equipment (i.e. purchased by Amadeus, known by Amadeus \nand centrally managed by Amadeus) shall connect to the Amadeus network, unless \nexplicitly validated by the Information Security Organization. This will help to achieve and \nmaintain an appropria te security level.  \n \nb) User shall not use or setup external hosts to access the Amadeus network from the \nInternet, including the use of tools that provide remote access through unauthorized \nmethods.  \nExamples of tools that may not be used on Amadeus workstations for remote access include, but']","User shall not use or setup external hosts to access the Amadeus network from the Internet, including the use of tools that provide remote access through unauthorized methods.",reasoning,True
"What actions should be taken for password security, including regularly changing passwords, avoiding password reuse, and reporting any suspected compromises?","[""• Changing passwords regularly (at least every 90 days), or whenever there is an indication \nthat their p assword has been compromised, and not reusing old passwords.  \n• Not using  the “remember  password”  features  of applications  (especially  in the Internet).  \n• Not using  the same  password  for business  and non-business  purposes.  \n• Locking  the computer  manually  when  leaving  the desk. \n• Not use another  user's  credentials  to access  company  devices  or services. If  a user suspects \nhis passcode,  account  or password  has been compromised,  the user must immediately  report \nthe incident to the Service Desk and change the relevant passwords.  \n• While users may use Amadeus managed mobile devices to access their private e -mail \naccounts,  users  shall diligently  check  settings  and content  of messages  to prevent  disclosure \nof Amadeus  information  (e.g. not responding  to business  partner's  e-mails  from a private  e- \nmail address).""]","Actions that should be taken for password security include regularly changing passwords (at least every 90 days or when compromised), not reusing old passwords, not using the 'remember password' feature, not using the same password for business and non-business purposes, manually locking the computer when leaving the desk, not using another user's credentials, immediately reporting any suspected compromises to the Service Desk, and diligently checking settings and content of messages to prevent disclosure of sensitive information.",reasoning,True
"What are the internet usage restrictions for Amadeus employees regarding illegal/offensive content, inappropriate discussions, and company policies?","['1.4.  Internet  Usage  \n1.4.1.  General  \nInternet  access  is intended  solely  for business  purposes.  Private  usage  is allowed  as long as it does \nnot conflict with your work.  \n \nUsers  will prioritize  the safety  and reputation  of Amadeus whenever  using  the Internet  by means  of \nAmadeus infrastructure. This includes, but is not limited to, complying with all applicable laws and \nregulations.  \n \n \n1.4.2.  User  obligations  \na) In order  to limit the risk to  Amadeus,  users shall:  \n \n• Not access  Internet  sites or participate  in discussions  in forums  such as Internet  user groups \nthat: \no Contain any kind of illegal or offensive content (e.g. extremist groups (e.g. ISIS), \nNazi propaganda,  racism,  anti-Semitism,  child pornography,  glorification  of violence, \netc.). \no Are inappropriate,  disrespectful,  or offensive  to colleagues’  sex, religion  or culture  or \nconstitute harassment.  \no Violate  the company’s  Corporate  Policy.']","Amadeus employees are restricted from accessing Internet sites or participating in discussions in forums that contain illegal or offensive content, are inappropriate or disrespectful to colleagues' sex, religion or culture, or violate the company's Corporate Policy.",reasoning,True
"What should be done when receiving an offensive email, considering email etiquette and workspace security?","['• Create  or forward  ´chain  letters`,  ´Ponzi`  or other  ´pyramid`  schemes  of any type. \n• Send or forward e -mails containing libelous, defamatory, offensive, racist or obscene \nremarks. When receiving an e -mail of this nature, supervisors or the Information Security \nOrganization shall promptly be notified.  \n• Setup  “automatic  forwarding”  to third party e-mail systems.  \n• Open  attachments  from uncertain  source.  © 2022 Amadeus  IT Group  SA CISO Office  \nPage 9 of 16 \namadeus.com  CONFIDENTIAL  & RESTRICTED  \n \n 1.7.  Clean  desk  and clean  screen  \n1.7.1.  Clean  Desk  \n \n(1) Confidential  Data \na) User  shall:  \n \n• Store sensitive physical materials (e.g. printouts, daily planners, notebooks, etc.) in a \nlockable  storage  facility  (e.g. lockable  drawer/cabinet) , especially  when  away from desk for \nan extended period of time.  \n• Not leave  portable  media  such as USB sticks,  portable  HDD,  DVD, Blue-Rays or CDs in drives.']","When receiving an offensive email, supervisors or the Information Security Organization should be promptly notified. It is important to follow email etiquette and maintain workspace security by not forwarding emails containing offensive remarks.",multi_context,True
